"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Patrick Mahomes","KC","QB","13116","weighted",4751.46020059191,210.742701448766,38.0020979940809,5.0521507826684,12.2068135481749,2.50770133513086,263.89297533706,50.1109249918917,2.29364957486264,0.850305482061601,1.95021374547846,0.695888112910959,2.51315356790529,0.737012106908376,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"Jared Goff","LAR","QB","12611","weighted",4446.81062808287,217.045755619164,28.4637158829332,2.84282516283485,12.4456757645511,2.14940211445958,97.068059848734,33.7672203525849,1.2635708765754,0.361597585057798,3.15531732982572,0.896195506401078,1.24416310424203,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Tom Brady","NE","QB","5848","weighted",4422.79038145347,182.988484754963,29.5423972377507,2.67164252162687,10.4688326208484,1.59122005255915,39.0219651430451,12.9540894147837,1.20899340238173,0.362810149189329,1.67358599145018,0.691232718309114,0.755836895757974,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1977-08-03,NA,NA,NA,NA
"Tom Brady","TB","QB","5848","weighted",4422.79038145347,182.988484754963,29.5423972377507,2.67164252162687,10.4688326208484,1.59122005255915,39.0219651430451,12.9540894147837,1.20899340238173,0.362810149189329,1.67358599145018,0.691232718309114,0.755836895757974,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1977-08-03,NA,NA,NA,NA
"Matt Ryan","ATL","QB","9099","weighted",4620.23751068727,153.58093217076,29.9975764551135,1.98924411277975,10.9006445248274,3.03397057059731,122.473505097008,14.0993548031573,1.20301388748442,0.375131540172863,3.69999177902006,1.13546712653314,1.24416310424203,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-05-17,NA,NA,NA,NA
"Ben Roethlisberger","PIT","QB","7401","weighted",4465.0868275608,329.86095885974,28.8251289609433,2.69374091223122,14.7212601326455,1.67673110076851,63.6942078113486,23.9252098151962,1.11023891875733,0.46440298322084,2.047534082535,0.640911048156861,2.48691967575534,0.276874984193575,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1982-03-02,"Q","Elbow",2019,0
"Dak Prescott","DAL","QB","12620","weighted",4096.42087142387,422.292258637795,25.9172607694837,4.04679330711389,10.6424071029267,1.89773687189969,303.053214403157,25.9992059596104,4.75233516860467,0.968433007210338,3.03322097994081,0.991009550182539,1.25881289049655,0.137540991782197,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Baker Mayfield","CLE","QB","13590","weighted",4278.2523380467,190.192118599413,29.7106280828675,2.6518007651369,15.5076192042091,1.99011222916873,172.132878329497,40.9637091224556,1.56475466407525,0.408750890701507,2.7778609010194,0.635956427487893,2.1562643867149,0.0830436176798171,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Drew Brees","NO","QB","4925","weighted",4282.0600394607,239.621935641616,30.9485728378823,2.04479442135459,8.7573331141072,1.8252335301197,34.9287957908583,21.6515636117049,1.83801132729335,1.07575062256358,1.51099145018086,0.845543389656886,1.31867806642552,0.415218088399085,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,1979-01-15,NA,NA,NA,NA
"Kirk Cousins","MIN","QB","10700","weighted",4115.39842486024,268.918317390865,28.1206379480434,1.9635581181572,11.5229891483065,1.52428103937881,123.683022032226,21.3728273440887,1.53914506266536,0.630576025073119,3.66364090759619,1.07481824774105,1.29533048339362,0.103804522099771,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
